
> rogue@1.0.0 sim:orchestrate
> tsc -p ./tsconfig.runtime.json && tsc -p ./tsconfig.tests.json && node ./scripts/run-balance-orchestrator.js --mode resume --suite nightly_full_matrix --output /Users/andrew/proj/rouge/artifacts/balance/orchestrator-20260329012521.json

[1/140] Amazon / Aggressive / seed 0: run_complete, act 5, level 52
[2/140] Amazon / Aggressive / seed 1: run_complete, act 5, level 52
[3/140] Amazon / Aggressive / seed 3: run_complete, act 5, level 52
[4/140] Amazon / Aggressive / seed 2: run_complete, act 5, level 52
[5/140] Amazon / Balanced / seed 2: run_failed, act 4, level 33
[6/140] Amazon / Balanced / seed 0: run_failed, act 4, level 33
[7/140] Amazon / Balanced / seed 1: run_complete, act 5, level 52
[8/140] Amazon / Balanced / seed 3: run_complete, act 5, level 52
[9/140] Amazon / Control / seed 0: run_failed, act 4, level 33
[10/140] Amazon / Aggressive / seed 4: run_complete, act 5, level 52
[11/140] Amazon / Control / seed 2: run_failed, act 4, level 33
[12/140] Amazon / Control / seed 1: run_failed, act 4, level 33
[13/140] Amazon / Control / seed 3: run_failed, act 4, level 33
[14/140] Amazon / Balanced / seed 4: run_failed, act 4, level 33
[15/140] Amazon / Control / seed 4: run_complete, act 5, level 52
[16/140] Amazon / Bulwark / seed 1: run_failed, act 4, level 33
[17/140] Amazon / Bulwark / seed 2: run_complete, act 5, level 52
[18/140] Amazon / Bulwark / seed 3: run_failed, act 4, level 33
[19/140] Assassin / Aggressive / seed 0: run_failed, act 4, level 33
[20/140] Amazon / Bulwark / seed 0: run_complete, act 5, level 52
[21/140] Amazon / Bulwark / seed 4: run_failed, act 4, level 33
[22/140] Assassin / Aggressive / seed 2: run_failed, act 4, level 33
[23/140] Assassin / Balanced / seed 0: run_failed, act 1, level 6
[24/140] Assassin / Aggressive / seed 3: run_failed, act 4, level 33
[25/140] Assassin / Balanced / seed 1: run_failed, act 3, level 26
[26/140] Assassin / Balanced / seed 3: run_failed, act 1, level 6
[27/140] Assassin / Balanced / seed 2: run_failed, act 4, level 33
[28/140] Assassin / Aggressive / seed 4: run_complete, act 5, level 52
[29/140] Assassin / Control / seed 1: run_failed, act 1, level 6
[30/140] Assassin / Balanced / seed 4: run_failed, act 4, level 33
[31/140] Assassin / Aggressive / seed 1: run_complete, act 5, level 52
[32/140] Assassin / Control / seed 4: run_failed, act 1, level 6
[33/140] Assassin / Control / seed 0: run_failed, act 4, level 33
[34/140] Assassin / Control / seed 2: run_failed, act 4, level 33
[35/140] Assassin / Bulwark / seed 2: run_failed, act 1, level 6
[36/140] Assassin / Bulwark / seed 0: run_failed, act 3, level 26
[37/140] Assassin / Control / seed 3: run_failed, act 4, level 33
[38/140] Assassin / Bulwark / seed 3: run_failed, act 3, level 26
[39/140] Barbarian / Aggressive / seed 1: run_failed, act 4, level 33
[40/140] Barbarian / Aggressive / seed 2: run_failed, act 4, level 33
[41/140] Assassin / Bulwark / seed 4: run_failed, act 4, level 33
[42/140] Barbarian / Aggressive / seed 0: run_complete, act 5, level 52
[43/140] Barbarian / Aggressive / seed 3: run_complete, act 5, level 52
[44/140] Barbarian / Balanced / seed 1: run_failed, act 4, level 33
